Constellation,Epoch,Satellite_ID,X,Y,Z,vX,vY,vZ
CENTISPACE,2025-03-31 12:56:30,90046,2468.7970161263693,6483.33794534299,3278.448784586528,-5.990089362994396,3.3798911074850015,-2.1666177112864045
CENTISPACE,2025-03-31 12:57:00,90046,2105.660949944504,6675.729956124084,3143.302836775541,-6.111216590259488,3.0314507539719404,-2.3370414266347566
CENTISPACE,2025-03-31 12:57:30,90046,1735.8376550705916,6846.9209363496275,2998.1518670397527,-6.212937080507783,2.673378196504411,-2.5000286712425175
CENTISPACE,2025-03-31 12:58:00,90046,1360.5015621781554,6996.366937224343,2843.457767809419,-6.294927062969937,2.306811244344672,-2.655060083964152
CENTISPACE,2025-03-31 12:58:30,90046,980.8446512511567,7123.593116881656,2679.712844217645,-6.35692551609425,1.9329150400683854,-2.801641566147141
CENTISPACE,2025-03-31 12:59:00,90046,598.07265885517,7228.195270006549,2507.438249682735,-6.398735058487789,1.5528783584869468,-2.939305887799022
CENTISPACE,2025-03-31 12:59:30,90046,213.40123800445264,7309.841132672079,2327.182327512771,-6.420222636846538,1.1679098172764952,-3.067614211736385
CENTISPACE,2025-03-31 13:00:00,90046,-171.94791705636737,7368.271457436469,2139.518863643934,-6.42132000647459,0.7792340111777004,-3.186157529724057
CENTISPACE,2025-03-31 12:00:00,90047,-1674.221397818666,7364.75549874291,1367.286527302152,-6.234427548724859,-0.7555800169529394,-3.542110184394235
CENTISPACE,2025-03-31 12:00:30,90047,-2045.4315605564132,7307.751299552102,1152.6962523411821,-6.13594216342062,-1.1440637017159454,-3.608981310510502
CENTISPACE,2025-03-31 12:01:00,90047,-2410.146453013964,7227.541372380832,934.4373930381047,-6.017976992175561,-1.5288972225963648,-3.6643637296266776
CENTISPACE,2025-03-31 12:01:30,90047,-2767.20853336806,7124.381460583612,713.2045769803767,-5.880909338044909,-1.9088561793307337,-3.708081897141969
CENTISPACE,2025-03-31 12:02:00,90047,-3115.4840267132627,6998.600550315165,489.70229169573076,-5.725177854282115,-2.28273114758621,-3.7399976038699663
CENTISPACE,2025-03-31 12:02:30,90047,-3453.8679849424498,6850.599392503571,264.64173473914263,-5.551280558827384,-2.6493331390281423,-3.7600105976431912
CENTISPACE,2025-03-31 12:03:00,90047,-3781.286853026571,6680.849467837397,38.73912369053603,-5.359773552754759,-3.0074964415539527,-3.7680587746287433
CENTISPACE,2025-03-31 12:03:30,90047,-4096.7021370119255,6489.891399265207,-187.28674827750447,-5.151269101037799,-3.3560826579219536,-3.7641183987194866
CENTISPACE,2025-03-31 12:04:00,90047,-4399.113714134118,6278.33320189967,-412.7168166226283,-4.926433609033771,-3.693984391754198,-3.7482041566397304
CENTISPACE,2025-03-31 12:04:30,90047,-4687.563016020162,6046.848315007334,-636.8340490224602,-4.685985417248944,-4.020128823399937,-3.7203690820106363
CENTISPACE,2025-03-31 12:05:00,90047,-4961.136074339905,5796.173423103217,-858.9257404974662,-4.4306924234044045,-4.33348116220335,-3.68070434904456
CENTISPACE,2025-03-31 12:05:30,90047,-5218.966418835897,5527.106073952867,-1078.2857922942035,-4.161369541644729,-4.6330479624398535,-3.629338937195605
CENTISPACE,2025-03-31 12:06:00,90047,-5460.237818272151,5240.502102024313,-1294.2169668522492,-3.878876009466731,-4.917880290997887,-3.5664391687335475
CENTISPACE,2025-03-31 12:06:30,90047,-5684.186855496802,4937.272866619671,-1506.0331113128525,-3.5841125535795095,-5.187076735781546,-3.4922081218214047
CENTISPACE,2025-03-31 12:07:00,90047,-5890.105328503637,4618.382314546883,-1713.0613421973214,-3.2780184264335084,-5.439786244776939,-3.406884922255001
CENTISPACE,2025-03-31 12:07:30,90047,-6077.342470093856,4284.843877765413,-1914.6441840848472,-2.9615683255734426,-5.675210786744362,-3.310743917559462
CENTISPACE,2025-03-31 12:08:00,90047,-6245.306979479247,3937.7172169497767,-2110.1416553528497,-2.6357692082721234,-5.892607825556049,-3.2040937376259375
CENTISPACE,2025-03-31 12:08:30,90047,-6393.468859922293,3578.1048223606936,-2298.9332943043237,-2.3016570140905435,-6.091292601277563,-3.0872762465068417
CENTISPACE,2025-03-31 12:09:00,90047,-6521.361057270673,3207.148483796245,-2480.420119292022,-1.9602933080880776,-6.27064021217147,-2.960665390366123
CENTISPACE,2025-03-31 12:09:30,90047,-6628.580895007478,2826.0256417132105,-2654.0265167568846,-1.612761857378595,-6.430087492870683,-2.824665946899427
