Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,GNSS,2025-03-31 12:36:30,C06,33895809.80778449,-9694958.155030487,-29542868.046620052
WROC,GNSS,2025-03-31 12:37:00,C06,33934474.80013334,-9663742.299261644,-29499818.97809337
WROC,GNSS,2025-03-31 12:37:30,C06,33973139.79248219,-9632526.4434928,-29456769.909566686
WROC,GNSS,2025-03-31 12:38:00,C06,34011804.78483104,-9601310.587723952,-29413720.841040004
WROC,GNSS,2025-03-31 12:38:30,C06,34050469.77717989,-9570094.731955105,-29370671.77251332
WROC,GNSS,2025-03-31 12:39:00,C06,34089134.76952874,-9538878.876186257,-29327622.703986637
WROC,GNSS,2025-03-31 12:39:30,C06,34127799.76187759,-9507663.020417415,-29284573.63545995
WROC,GNSS,2025-03-31 12:40:00,C06,34166464.75422644,-9476447.164648566,-29241524.56693327
WROC,GNSS,2025-03-31 12:40:30,C06,34204977.66902611,-9445832.714107689,-29196532.79283174
WROC,GNSS,2025-03-31 12:41:00,C06,34243490.583825774,-9415218.263566807,-29151541.018730216
WROC,GNSS,2025-03-31 12:41:30,C06,34282003.49862545,-9384603.813025925,-29106549.244628686
WROC,GNSS,2025-03-31 12:42:00,C06,34320516.413425125,-9353989.362485042,-29061557.47052716
WROC,GNSS,2025-03-31 12:42:30,C06,34359029.32822479,-9323374.91194416,-29016565.696425635
WROC,GNSS,2025-03-31 12:43:00,C06,34397542.24302446,-9292760.461403284,-28971573.922324106
WROC,GNSS,2025-03-31 12:43:30,C06,34436055.15782413,-9262146.010862399,-28926582.14822258
WROC,GNSS,2025-03-31 12:44:00,C06,34474568.0726238,-9231531.560321517,-28881590.37412105
WROC,GNSS,2025-03-31 12:44:30,C06,34513080.98742347,-9200917.109780636,-28836598.600019522
WROC,GNSS,2025-03-31 12:45:00,C06,34551593.90222314,-9170302.659239756,-28791606.825917996
WROC,GNSS,2025-03-31 12:45:30,C06,34589881.61484964,-9140299.57919159,-28744698.00358145
WROC,GNSS,2025-03-31 12:46:00,C06,34628169.327476144,-9110296.49914342,-28697789.181244902
WROC,GNSS,2025-03-31 12:46:30,C06,34666457.040102646,-9080293.419095257,-28650880.35890836
WROC,GNSS,2025-03-31 12:47:00,C06,34704744.75272915,-9050290.339047091,-28603971.536571816
WROC,GNSS,2025-03-31 12:47:30,C06,34743032.46535565,-9020287.258998927,-28557062.714235265
WROC,GNSS,2025-03-31 12:48:00,C06,34781320.17798215,-8990284.178950762,-28510153.89189872
WROC,GNSS,2025-03-31 12:48:30,C06,34819607.890608646,-8960281.098902596,-28463245.069562178
WROC,GNSS,2025-03-31 12:49:00,C06,34857895.603235155,-8930278.018854428,-28416336.247225627
WROC,GNSS,2025-03-31 12:49:30,C06,34896183.31586165,-8900274.938806262,-28369427.424889084
WROC,GNSS,2025-03-31 12:50:00,C06,34934471.02848815,-8870271.8587581,-28322518.60255254
WROC,GNSS,2025-03-31 12:50:30,C06,34972460.85716854,-8840887.955786945,-28273720.787587162
WROC,GNSS,2025-03-31 12:51:00,C06,35010450.68584894,-8811504.052815797,-28224922.972621784
WROC,GNSS,2025-03-31 12:51:30,C06,35048440.51452933,-8782120.149844645,-28176125.15765641
WROC,GNSS,2025-03-31 12:52:00,C06,35086430.34320972,-8752736.246873492,-28127327.342691027
WROC,GNSS,2025-03-31 12:52:30,C06,35124420.17189012,-8723352.343902346,-28078529.52772565
WROC,GNSS,2025-03-31 12:53:00,C06,35162410.0005705,-8693968.440931195,-28029731.712760273
WROC,GNSS,2025-03-31 12:53:30,C06,35200399.829250894,-8664584.537960043,-27980933.897794895
WROC,GNSS,2025-03-31 12:54:00,C06,35238389.65793129,-8635200.634988895,-27932136.08282952
WROC,GNSS,2025-03-31 12:54:30,C06,35276379.48661168,-8605816.73201774,-27883338.26786414
WROC,GNSS,2025-03-31 12:55:00,C06,35314369.315292075,-8576432.829046592,-27834540.45289876
WROC,GNSS,2025-03-31 12:00:00,C07,40530305.393859774,-9661458.506597912,-11661686.852881314
WROC,GNSS,2025-03-31 12:00:30,C07,40510784.83939437,-9720556.933144344,-11697682.391156593
WROC,GNSS,2025-03-31 12:01:00,C07,40491264.284928955,-9779655.359690776,-11733677.929431872
WROC,GNSS,2025-03-31 12:01:30,C07,40471743.73046355,-9838753.786237206,-11769673.467707153
WROC,GNSS,2025-03-31 12:02:00,C07,40452223.17599814,-9897852.212783638,-11805669.005982433
WROC,GNSS,2025-03-31 12:02:30,C07,40432702.62153273,-9956950.639330072,-11841664.544257713
WROC,GNSS,2025-03-31 12:03:00,C07,40413182.067067325,-10016049.065876504,-11877660.082532993
WROC,GNSS,2025-03-31 12:03:30,C07,40393661.51260191,-10075147.492422935,-11913655.620808272
WROC,GNSS,2025-03-31 12:04:00,C07,40374140.9581365,-10134245.918969367,-11949651.159083553
WROC,GNSS,2025-03-31 12:04:30,C07,40354620.40367109,-10193344.345515799,-11985646.69735883
WROC,GNSS,2025-03-31 12:05:00,C07,40335099.84920568,-10252442.772062233,-12021642.23563411
WROC,GNSS,2025-03-31 12:05:30,C07,40314552.3027384,-10310527.114966772,-12057780.767206766
WROC,GNSS,2025-03-31 12:06:00,C07,40294004.75627113,-10368611.457871314,-12093919.298779422
WROC,GNSS,2025-03-31 12:06:30,C07,40273457.20980384,-10426695.800775852,-12130057.830352077
WROC,GNSS,2025-03-31 12:07:00,C07,40252909.66333656,-10484780.143680394,-12166196.361924734
WROC,GNSS,2025-03-31 12:07:30,C07,40232362.11686927,-10542864.486584933,-12202334.893497387
WROC,GNSS,2025-03-31 12:08:00,C07,40211814.570402004,-10600948.829489477,-12238473.42507004
WROC,GNSS,2025-03-31 12:08:30,C07,40191267.023934714,-10659033.172394017,-12274611.956642695
