Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,CENTISPACE,2025-03-31 12:00:30,90031,-6769725.09350194,1074967.5177316426,-2910635.0786269815
WROC,CENTISPACE,2025-03-31 12:00:30,90032,-4945057.214008014,-3735981.685703419,-1854502.315869118
WROC,CENTISPACE,2025-03-31 12:00:30,90033,-804714.6306863292,-6788681.502379076,-2910268.813216138
WROC,CENTISPACE,2025-03-31 12:00:30,90034,3711876.844848536,-6656380.813850519,-5581988.310608585
WROC,CENTISPACE,2025-03-31 12:00:30,90035,6493735.917245585,-3404152.7941757524,-8619519.644720005
WROC,CENTISPACE,2025-03-31 12:00:30,90036,6241882.272875707,1448401.2535503984,-10604065.295272782
WROC,CENTISPACE,2025-03-31 12:00:30,90037,6783031.571480298,-1939939.8705324756,-9385874.794706551
WROC,CENTISPACE,2025-03-31 12:00:30,90038,4330187.816526358,1460148.5451180171,-12542657.947836773
WROC,CENTISPACE,2025-03-31 12:00:30,90039,-145815.69430571745,4187990.477561723,-12813588.651217913
WROC,CENTISPACE,2025-03-31 12:00:30,90040,-4553977.318386616,4967663.027421296,-10069591.909231296
WROC,CENTISPACE,2025-03-31 12:00:30,90041,-6830325.194360089,3432067.7544681104,-5592223.123481518
WROC,CENTISPACE,2025-03-31 12:00:30,90042,-5907413.658725111,299287.997875549,-1477889.486456765
WROC,CENTISPACE,2025-03-31 12:00:30,90043,-2217152.851268086,-2963760.3500949685,346664.7654727464
WROC,CENTISPACE,2025-03-31 12:00:30,90044,2512455.9823813736,-4829199.424484137,-972804.3934949195
WROC,CENTISPACE,2025-03-31 12:00:30,90045,6066470.021624538,-4424034.039526188,-4817395.528402934
WROC,CENTISPACE,2025-03-31 12:00:30,90046,4552572.2422338575,-1914216.3999798791,-499809.53459575836
WROC,CENTISPACE,2025-03-31 12:00:30,90047,7457513.196389389,-348667.63011311274,-4586426.304382028
WROC,CENTISPACE,2025-03-31 12:00:30,90048,6871184.652310862,1390183.8453787973,-9506657.006239135
WROC,CENTISPACE,2025-03-31 12:00:30,90049,3071154.7266317564,2488558.7762196143,-12957531.124060586
WROC,CENTISPACE,2025-03-31 12:00:30,90050,-2163548.1007192424,2433842.441212662,-13327957.943217916
WROC,CENTISPACE,2025-03-31 12:00:30,90051,-6387697.9671814265,1251811.321503406,-10445512.311272686
WROC,CENTISPACE,2025-03-31 12:00:30,90052,-7625514.141953447,-505834.20700568665,-5655127.188692039
WROC,CENTISPACE,2025-03-31 12:00:30,90053,-5294299.010990753,-2016771.983426934,-1197645.0757357401
WROC,CENTISPACE,2025-03-31 12:00:30,90054,-484158.96461397706,-2573102.462054946,838740.2305041072
WROC,CENTISPACE,2025-03-31 12:01:00,90001,-2741729.0032308586,-5268414.674813394,-1524617.2418693202
WROC,CENTISPACE,2025-03-31 12:01:00,90002,1890664.753341616,-3485700.11769318,193070.57436240392
WROC,CENTISPACE,2025-03-31 12:01:00,90003,5636619.5295735905,-61091.525288536155,-1161152.8264349676
WROC,CENTISPACE,2025-03-31 12:01:00,90004,6741914.627428142,3401849.1029370823,-4953348.545217459
WROC,CENTISPACE,2025-03-31 12:01:00,90005,4689124.627257337,5281639.755340651,-9407759.351005385
WROC,CENTISPACE,2025-03-31 12:01:00,90006,440639.4765087788,4698717.512163005,-12438446.012508346
WROC,CENTISPACE,2025-03-31 12:01:00,90007,-4013734.7494813087,1928173.3258962564,-12628840.527030487
WROC,CENTISPACE,2025-03-31 12:01:00,90008,-6592458.7955191815,-1733280.4635757904,-9892777.947492585
WROC,CENTISPACE,2025-03-31 12:01:00,90009,-6091249.549832421,-4575364.644322136,-5508508.436979627
WROC,CENTISPACE,2025-03-31 12:01:00,90010,-6697862.23419173,-2885648.060435561,-8746415.128643693
WROC,CENTISPACE,2025-03-31 12:01:00,90011,-4031491.4962241524,-6507713.183521491,-6042120.150458899
WROC,CENTISPACE,2025-03-31 12:01:00,90012,518595.9617397284,-7079730.619056628,-3488696.4649833143
WROC,CENTISPACE,2025-03-31 12:01:00,90013,4826490.133871351,-4331517.241931332,-2280240.2900016624
WROC,CENTISPACE,2025-03-31 12:01:00,90014,6874817.338830389,453531.84007388755,-2983984.1968005556
WROC,CENTISPACE,2025-03-31 12:01:00,90015,5702993.082324166,5034961.825773357,-5271202.903879413
WROC,CENTISPACE,2025-03-31 12:01:00,90016,1859532.1875915495,7267363.152303352,-8070948.621882643
WROC,CENTISPACE,2025-03-31 12:01:00,90017,-2855793.7158539104,6105543.750514188,-10072251.350184347
WROC,CENTISPACE,2025-03-31 12:01:00,90018,-6234797.55447191,2094806.8054775237,-10338349.591924164
WROC,CENTISPACE,2025-03-31 12:01:00,90019,-4882382.439836593,5908885.86697274,-6975314.552310715
WROC,CENTISPACE,2025-03-31 12:01:00,90020,-7544918.3431112515,1431434.9113896585,-6302506.398000036
WROC,CENTISPACE,2025-03-31 12:01:00,90021,-6675437.030980692,-3707088.415630938,-5659026.543260938
WROC,CENTISPACE,2025-03-31 12:01:00,90022,-2684127.4847104196,-7101940.255150849,-5345906.7611622205
WROC,CENTISPACE,2025-03-31 12:01:00,90023,2560967.2992950366,-7168570.835194307,-5509127.684461336
WROC,CENTISPACE,2025-03-31 12:01:00,90024,6609845.511572142,-3876189.2547066193,-6072404.783087876
WROC,CENTISPACE,2025-03-31 12:01:00,90025,7568219.137102212,1238699.4733654168,-6772710.848088978
WROC,CENTISPACE,2025-03-31 12:01:00,90026,4984152.585488776,5782985.807448424,-7282275.675004959
WROC,CENTISPACE,2025-03-31 12:01:00,90027,66373.55275057859,7627731.189281347,-7362313.649621717
WROC,CENTISPACE,2025-03-31 12:01:00,90028,2741729.003230859,5872018.7557801055,-10509558.358043952
WROC,CENTISPACE,2025-03-31 12:01:00,90029,-1890664.7533416117,7173207.817055898,-8403512.382046407
WROC,CENTISPACE,2025-03-31 12:01:00,90030,-5636619.529573592,5124447.201727442,-5343374.317919574
WROC,CENTISPACE,2025-03-31 12:01:00,90031,-6741914.627428142,684894.5322758516,-2762080.4060735977
WROC,CENTISPACE,2025-03-31 12:01:00,90032,-4689124.627257339,-4066577.9229084007,-1868269.4466367578
WROC,CENTISPACE,2025-03-31 12:01:00,90033,-440639.47650877986,-6905072.930053919,-3079799.9151818897
WROC,CENTISPACE,2025-03-31 12:01:00,90034,4013734.7494813083,-6504411.063534316,-5827823.792067538
WROC,CENTISPACE,2025-03-31 12:01:00,90035,6592458.795519182,-3054995.766921423,-8826793.015497461
WROC,CENTISPACE,2025-03-31 12:01:00,90036,6091249.54983242,1831718.0843778772,-10675925.073188748
WROC,CENTISPACE,2025-03-31 12:01:00,90037,6697862.234191726,-1690589.677202496,-9710249.190454336
WROC,CENTISPACE,2025-03-31 12:01:00,90038,4031491.4962241533,1719436.953024268,-12677450.812531142
WROC,CENTISPACE,2025-03-31 12:01:00,90039,-518595.96173971746,4336084.059112369,-12695737.045185063
WROC,CENTISPACE,2025-03-31 12:01:00,90040,-4826490.133871348,4935121.322898047,-9753935.309911612
WROC,CENTISPACE,2025-03-31 12:01:00,90041,-6874817.338830386,3233975.859288835,-5226457.610883451
WROC,CENTISPACE,2025-03-31 12:01:00,90042,-5702993.082324171,28393.85066555854,-1233324.2404751354
WROC,CENTISPACE,2025-03-31 12:01:00,90043,-1859532.1875915476,-3180619.5170904193,355519.6705915869
WROC,CENTISPACE,2025-03-31 12:01:00,90044,2855793.715853914,-4890481.918081938,-1203777.4474577962
WROC,CENTISPACE,2025-03-31 12:01:00,90045,6234797.554471905,-4301162.223368438,-5179896.335766064
WROC,CENTISPACE,2025-03-31 12:01:00,90046,4882382.439836598,-1822142.2317598024,-740114.3989803445
WROC,CENTISPACE,2025-03-31 12:01:00,90047,7544918.343111252,-216373.07895740826,-4973522.399642113
WROC,CENTISPACE,2025-03-31 12:01:00,90048,6675437.03098069,1500732.997740026,-9859219.384429295
WROC,CENTISPACE,2025-03-31 12:01:00,90049,2684127.484710425,2525702.517512786,-13110757.557935802
WROC,CENTISPACE,2025-03-31 12:01:00,90050,-2560967.2992950324,2380294.6046970906,-13210443.278528707
WROC,CENTISPACE,2025-03-31 12:01:00,90051,-6609845.51157215,1132542.6947623605,-10112028.727080492
WROC,CENTISPACE,2025-03-31 12:01:00,90052,-7568219.137102212,-635095.3923987052,-5261464.751824296
WROC,CENTISPACE,2025-03-31 12:01:00,90053,-4984152.585488778,-2095478.1080857082,-928166.1326790443
WROC,CENTISPACE,2025-03-31 12:01:00,90054,-66373.55275058441,-2564375.5128424386,857786.5052671741
WROC,CENTISPACE,2025-03-31 12:01:30,90001,-2403726.4482542304,-5208083.276189774,-1285693.258968146
WROC,CENTISPACE,2025-03-31 12:01:30,90002,2240023.216202383,-3255750.4341415535,201740.00652881153
WROC,CENTISPACE,2025-03-31 12:01:30,90003,5833705.79747317,230807.46535581863,-1386841.4849728474
WROC,CENTISPACE,2025-03-31 12:01:30,90004,6694450.03942038,3619025.9556661136,-5307724.455194131
WROC,CENTISPACE,2025-03-31 12:01:30,90005,4419373.639962277,5322406.316351595,-9724857.289556814
WROC,CENTISPACE,2025-03-31 12:01:30,90006,75051.27098992492,4544123.226402736,-12569854.201384345
WROC,CENTISPACE,2025-03-31 12:01:30,90007,-4304129.068299318,1650735.2567352962,-12513354.5457684
WROC,CENTISPACE,2025-03-31 12:01:30,90008,-6672103.467429229,-2003917.8903102272,-9584493.693502085
WROC,CENTISPACE,2025-03-31 12:01:30,90009,-5922808.903070934,-4712748.233162252,-5151357.946894539
WROC,CENTISPACE,2025-03-31 12:01:30,90010,-6593250.28200352,-3246577.24031036,-8563592.205945577
WROC,CENTISPACE,2025-03-31 12:01:30,90011,-3721269.2700777077,-6674728.4180204375,-5817408.883225631
WROC,CENTISPACE,2025-03-31 12:01:30,90012,889601.2801539401,-6974685.695333087,-3327068.52111125
WROC,CENTISPACE,2025-03-31 12:01:30,90013,5084718.99761624,-4003237.7904618713,-2257420.77844019
WROC,CENTISPACE,2025-03-31 12:01:30,90014,6899199.894265885,851441.7735832252,-3110777.443454501
WROC,CENTISPACE,2025-03-31 12:01:30,90015,5482064.387657959,5316145.963716828,-5488249.859095272
WROC,CENTISPACE,2025-03-31 12:01:30,90016,1496734.4000701595,7300166.955865228,-8276624.662998989
WROC,CENTISPACE,2025-03-31 12:01:30,90017,-3190548.653597243,5874643.672596351,-10170245.717118809
WROC,CENTISPACE,2025-03-31 12:01:30,90018,-6384822.483413561,1708494.5473623485,-10282873.45981399
WROC,CENTISPACE,2025-03-31 12:01:30,90019,-5197715.639350216,5636935.72459181,-6935201.569483124
WROC,CENTISPACE,2025-03-31 12:01:30,90020,-7609922.29355952,1020882.0806389797,-6255607.891993929
WROC,CENTISPACE,2025-03-31 12:01:30,90021,-6459873.754403488,-4063947.5585893574,-5627304.828518815
WROC,CENTISPACE,2025-03-31 12:01:30,90022,-2289121.2137041986,-7238339.620145538,-5344170.793302259
WROC,CENTISPACE,2025-03-31 12:01:30,90023,2950834.1973515213,-7020964.076020119,-5538164.182484991
WROC,CENTISPACE,2025-03-31 12:01:30,90024,6812410.1832248755,-3513380.387011802,-6118667.66077889
WROC,CENTISPACE,2025-03-31 12:01:30,90025,7488445.445870472,1647177.1741953357,-6814572.531618635
WROC,CENTISPACE,2025-03-31 12:01:30,90026,4659176.678063507,6045808.255067183,-7300118.662782461
WROC,CENTISPACE,2025-03-31 12:01:30,90027,-351641.4098152125,7621772.275956868,-7347775.054451697
WROC,CENTISPACE,2025-03-31 12:01:30,90028,2403726.4482542328,6092746.65312464,-10399996.765325041
WROC,CENTISPACE,2025-03-31 12:01:30,90029,-2240023.216202379,7132982.5288263615,-8176942.432127112
WROC,CENTISPACE,2025-03-31 12:01:30,90030,-5833705.79747317,4842060.089835893,-5105891.875685693
WROC,CENTISPACE,2025-03-31 12:01:30,90031,-6694450.039420377,292563.4931192719,-2624878.2681623986
WROC,CENTISPACE,2025-03-31 12:01:30,90032,-4419373.639962282,-4385116.867563154,-1895581.639307052
WROC,CENTISPACE,2025-03-31 12:01:30,90033,-75051.27098992099,-7000760.985500682,-3258716.938794001
WROC,CENTISPACE,2025-03-31 12:01:30,90034,4304129.068299324,-6332789.50293505,-6074511.720481769
WROC,CENTISPACE,2025-03-31 12:01:30,90035,6672103.46742923,-2696389.2063095844,-9026004.292020809
WROC,CENTISPACE,2025-03-31 12:01:30,90036,5922808.903070935,2209862.3834803235,-10734556.226229826
WROC,CENTISPACE,2025-03-31 12:01:30,90037,6593250.282003519,-1435477.0058893897,-10024274.060304597
WROC,CENTISPACE,2025-03-31 12:01:30,90038,3721269.2700777096,1974421.3214006193,-12793089.102297258
WROC,CENTISPACE,2025-03-31 12:01:30,90039,-889601.2801539307,4471799.845651158,-12558845.652013123
WROC,CENTISPACE,2025-03-31 12:01:30,90040,-5084718.99761624,4887901.167396736,-9428269.245853
WROC,CENTISPACE,2025-03-31 12:01:30,90041,-6899199.894265885,3025790.321101581,-4864424.982143799
WROC,CENTISPACE,2025-03-31 12:01:30,90042,-5482064.387657959,-243278.40852511307,-1004483.5015632706
WROC,CENTISPACE,2025-03-31 12:01:30,90043,-1496734.400070181,-3388577.5070798313,344021.93964245764
WROC,CENTISPACE,2025-03-31 12:01:30,90044,3190548.6535972445,-4937354.223807916,-1450193.2117450621
WROC,CENTISPACE,2025-03-31 12:01:30,90045,6384822.483413558,-4165132.3064602977,-5545697.680364353
WROC,CENTISPACE,2025-03-31 12:01:30,90046,5197715.639350205,-1725346.275806424,-997401.1538733986
WROC,CENTISPACE,2025-03-31 12:01:30,90047,7609922.293559519,-83592.63185053445,-5364831.036869948
WROC,CENTISPACE,2025-03-31 12:01:30,90048,6459873.754403485,1607309.7994914118,-10201266.311659528
WROC,CENTISPACE,2025-03-31 12:01:30,90049,2289121.2137042023,2556285.3739457796,-13243695.472947907
WROC,CENTISPACE,2025-03-31 12:01:30,90050,-2950834.1973515204,2320656.9794003023,-13072333.8030379
WROC,CENTISPACE,2025-03-31 12:01:30,90051,-6812410.183224879,1010494.5373298698,-9767246.512345474
WROC,CENTISPACE,2025-03-31 12:01:30,90052,-7488445.445870472,-762513.797260475,-4871117.492674548
WROC,CENTISPACE,2025-03-31 12:01:30,90053,-4659176.678063501,-2168576.1603823765,-675083.7628158366
WROC,CENTISPACE,2025-03-31 12:01:30,90054,351641.4098152102,-2548904.7207651543,855041.6937931549
WROC,CENTISPACE,2025-03-31 12:02:00,90001,-2058507.138378917,-5132342.526055037,-1061941.7794659857
WROC,CENTISPACE,2025-03-31 12:02:00,90002,2583080.4092148663,-3016612.203614999,190507.11593404342
WROC,CENTISPACE,2025-03-31 12:02:00,90003,6013928.254018864,521368.30281451624,-1627833.923942578
WROC,CENTISPACE,2025-03-31 12:02:00,90004,6627455.595173325,3824964.6028565313,-5665639.748653167
WROC,CENTISPACE,2025-03-31 12:02:00,90005,4136580.9496504935,5347300.610337112,-10032069.585960178
WROC,CENTISPACE,2025-03-31 12:02:00,90006,-290987.74358528404,4376467.913366137,-12682603.496105054
WROC,CENTISPACE,2025-03-31 12:02:00,90007,-4582209.651526397,1369140.4502872387,-12379176.465262793
WROC,CENTISPACE,2025-03-31 12:02:00,90008,-6732424.031846559,-2267886.7795398314,-9266189.144087542
WROC,CENTISPACE,2025-03-31 12:02:00,90009,-5737035.202963733,-4835731.946641963,-4797546.334021967
WROC,CENTISPACE,2025-03-31 12:02:00,90010,-6469516.942558835,-3597536.1260991152,-8373470.865033035
WROC,CENTISPACE,2025-03-31 12:02:00,90011,-3400432.4850158314,-6821620.595314693,-5593528.609973061
WROC,CENTISPACE,2025-03-31 12:02:00,90012,1257750.841992158,-6848734.758937164,-3174026.760223593
WROC,CENTISPACE,2025-03-31 12:02:00,90013,5327919.805054138,-3663059.407993906,-2246942.5589253735
WROC,CENTISPACE,2025-03-31 12:02:00,90014,6903417.362007414,1246646.199600228,-3247880.264105693
WROC,CENTISPACE,2025-03-31 12:02:00,90015,5245285.543961727,5581290.20396655,-5708743.398204514
WROC,CENTISPACE,2025-03-31 12:02:00,90016,1129823.1277060919,7311107.170846331,-8477270.543013513
WROC,CENTISPACE,2025-03-31 12:02:00,90017,-3515750.2953450773,5626303.627864851,-10257090.066477353
WROC,CENTISPACE,2025-03-31 12:02:00,90018,-6516123.931314206,1317333.0514285052,-10215361.375572737
WROC,CENTISPACE,2025-03-31 12:02:00,90019,-5497632.467467237,5348201.542188872,-6894155.164247193
WROC,CENTISPACE,2025-03-31 12:02:00,90020,-7652331.24499557,607336.8159941423,-6209211.539161325
WROC,CENTISPACE,2025-03-31 12:02:00,90021,-6225136.18772892,-4408624.575931265,-5597283.233814325
WROC,CENTISPACE,2025-03-31 12:02:00,90022,-1887307.2910324268,-7353116.109064766,-5344534.4045031695
WROC,CENTISPACE,2025-03-31 12:02:00,90023,3331991.546830731,-6852378.14271292,-5568722.14674407
WROC,CENTISPACE,2025-03-31 12:02:00,90024,6994786.044955893,-3140021.798728265,-6165164.203113495
WROC,CENTISPACE,2025-03-31 12:02:00,90025,7386426.943433057,2050803.2760107394,-6855265.931757935
WROC,CENTISPACE,2025-03-31 12:02:00,90026,4320336.952792546,6290632.510686341,-7315937.42527893
WROC,CENTISPACE,2025-03-31 12:02:00,90027,-768642.7100571371,7593105.906673235,-7331305.548773557
WROC,CENTISPACE,2025-03-31 12:02:00,90028,2058507.1383789165,6295382.841954253,-10278588.525131108
WROC,CENTISPACE,2025-03-31 12:02:00,90029,-2583080.4092148673,7071360.418557222,-7945607.206412427
WROC,CENTISPACE,2025-03-31 12:02:00,90030,-6013928.254018865,4544999.708227889,-4872958.225080666
WROC,CENTISPACE,2025-03-31 12:02:00,90031,-6627455.595173328,-100846.65445838319,-2499408.991120527
WROC,CENTISPACE,2025-03-31 12:02:00,90032,-4136580.949650493,-4690633.013404312,-1936312.5313281205
WROC,CENTISPACE,2025-03-31 12:02:00,90033,290987.74358528515,-7075447.341353396,-3446447.2125882357
WROC,CENTISPACE,2025-03-31 12:02:00,90034,4582209.651526402,-6142019.515644056,-6321303.544203064
WROC,CENTISPACE,2025-03-31 12:02:00,90035,6732424.03184656,-2329401.874336285,-9216576.217629561
WROC,CENTISPACE,2025-03-31 12:02:00,90036,5737035.202963737,2581693.9737758236,-10779821.219801772
WROC,CENTISPACE,2025-03-31 12:02:00,90037,6469516.942558833,-1175342.939257705,-10327009.14443282
WROC,CENTISPACE,2025-03-31 12:02:00,90038,3400432.4850158333,2224331.941438569,-12889236.75174404
